Nazwa;KCAL;WEGLOWODANY;BIALKO;TLUSZCZ
Majonez z olejem rzepakowym;714;2.6;1.3;79
Majonez z olejem slonecznikowym;714;2.6;1.3;79
Mak niebieski;478;24.7;20.1;42.9
Makaron bezjajeczny;363;78.5;10;1.6
Makaron czterojajeczny;377;76.2;12;3.4
Makaron dwujajeczny;373;77.4;11.5;2.6
Makaron na mleku;66;8.5;2.9;2.3
Makrela swieza;181;0;18.7;11.9
Makrela wedzona;221;0;20.7;15.5
Makrela, filety z czerwona fasola;128;4.4;12.4;7.3
Makrela, filety z warzywami;124;3.6;12;7.3
Makrela, salatka pikantna;181;6.9;10.2;13.2
Maliny;29;12;1.3;0.3
Mandarynki;42;11.2;0.6;0.2
Marchew;27;8.7;1;0.2
Marchew mrozona;24;7.8;0.9;0.2
Marchew z groszkiem;64;10.8;1.7;3.1
Marchew zasmazana;69;8.4;1;4.8
Margaryna Bona;442;0;0;50
Margaryna Flora;531;0;0;60
Margaryna Kama;398;0;0;45
Margaryna mleczna;710;0.4;0.3;80
Margaryna Palma;710;0.4;0.3;80
Margaryna Rama;621;0.4;0.1;70
Margaryna Sloneczna;710;0.4;0.3;80
Margaryna Tina;442;0;0;45
Margaryna zwykla;710;0.4;0.3;80
Markizy;483;64.3;5.6;23
Maslo ekstra;735;0.7;0.7;82.5
Maslo roslinne Nova;442;0;0;50
Maslo roslinne zwykle;666;0.4;0.3;75
Maslo smietankowe;659;1.1;1.1;73.5
Maslanka 0.5 %;37;4.7;3.4;0.5
Maka pszenna typ 500;342;74.9;9.2;1.2
Maka pszenna typ 550;343;74.1;9.4;1.6
Medaliony z indyka;247;3.4;18.6;17.9
Melon;36;8.4;0.9;0.3
Mielonka;171;3.7;12.8;11.7
Migdaly;572;20.5;20;52
Mintaj swiezy;73;0;16.6;0.6
Miod pszczeli;324;79.5;0;0
Mizeria ze smietana;34;2.8;1;2.2
Mleko kozie;68;4.5;3.2;4.1
Mleko owcze;107;5.1;6;7
Mleko spozywcze 0.5 %;39;5.1;3.5;0.5
Mleko spozywcze 1.5 %;47;5;3.4;1.5
Mleko spozywcze 2 %;51;4.9;3.4;2
Mleko spozywcze 3.2 %;61;4.8;3.3;3.2
Mleko spozywcze 3.5 %;64;4.8;3.3;3.5
Mleko w proszku odtluszczone;360;51.2;35.7;0.8
Mleko w proszku pelne;479;38.7;27;24
Mleko zageszczone nieslodzone;131;9.4;6.6;7.5
Mleko zageszczone slodzone;326;55.3;7.5;8
Morela;47;11.9;0.9;0.2
Morele suszone;284;72.2;5.4;1.2
Morele, dzem niskoslodzony;157;38.8;0.4;0.1
Morszczuk swiezy;89;0;17.2;2.2
Mus jablkowy;127;28.7;2.2;0.5
Musli z owocami suszonymi;325;72.2;8.4;3.4
Musli z rodzynkami i orzechami;375;62.9;11.5;12.7
Musztarda;162;22;5.7;6.4
Nalesniki z kapusta;147;15.2;3.2;9.2
Nalesniki z serem;242;27.4;10.1;10.3
Napoj mleczny jogurtowy;82;12.1;4;1.9
Napoj mleczny kakaowy;81;12.1;3.3;2.1
Napoj owocowy gazowany;42;10.3;0;0
Nektarynka;48;11.8;0.9;0.2
Nerki wieprzowe;102;0;16.8;3.8
Nogi wieprzowe;274;0;23;20.4
Ocet winny;20;5;0;0
Ogorek;15;2.9;0.7;0.1
Ogorek kiszony;12;1.9;0.7;0.2
Olej kukurydziany;900;0;0;100
Olej lniany;900;0;0;100
Olej rzepakowy;900;0;0;100
Olej slonecznikowy;900;0;0;100
Olej sojowy;900;0;0;100
Oliwa z oliwek;897;0.2;0;99.6
Oliwki;147;4.1;1.4;13.9
Orzechy arachidowe;595;19.2;25.7;46.1
Orzechy laskowe;695;11;14.4;65.9
Orzechy nerkowca;638;24;17;54
Orzechy pistacjowe;618;17.5;20.8;51.6
Orzechy wloskie;679;18;16;60.3
Orzeszki ziemne;634;13.3;26;53
Ostrygi;85;5;5;5
Otreby pszenne;183;61.9;16;4.6
Ozory cielece;106;0;17.1;4.2
Ozory wieprzowe;166;0;16.5;11.1
Paluszki solone;385;9.9;4.9;75.2
Papaja;43;0.6;0.1;9.8
Papryka czerwona;28;1.3;0.5;6.6
Papryka czerw. kons.;30;0.8;1.5;5.0
Papryka nadz. miesem;160;4.4;10.6;13.7
Papryka zielona;18;1.1;0.3;4.6
Paprykarz Szczecinski;178;9.9;11.9;8.6
Parowki;342;9.5;34.3;0.0
Parowki drobiowe;259;10.8;22.4;4.2
Parowki Morlinki;223;12.4;19.1;0.4
Pasternak;80;1.2;0.3;18.0
Paszteciki drob. miesn.;308;8.4;18.4;28.8
Pasztet pieczony;390;17.0;31.2;13.5
Pasztet podlaski drob;228;6.7;21.1;3.6
Pasztet z miesa miesz.;361;15.0;31.1;6.6
Paczki;376;6.0;16.0;52.0
Pepsi, napoj;42;0.0;0.0;10.4
Pestki dyni;596;29.0;46.7;15.0
Pedy bambusa;34;2.6;0.3;5.2
Pedy bambusa, kons.;23;1.7;0.4;3.2
Pieczarka, suszona;331;19.1;2.1;49.3
Pieczarka, swieza;17;2.7;0.4;2.6
Pieczen ciel.;193;20.1;11.8;1.7
Pieczen rzymska;208;14.4;11.4;12.7
Pieczen wolowa duszona;155;15.8;9.5;2.0
Pieczywo chrupkie Wasa;360;12.0;2.2;73.0
Pieczywo tostowe;305;8.1;4.7;58.8
Pieczywo tost. graham;273;7.5;4.2;53.8
Piernik z bakaliami;341;5.9;9.8;59.4
Pierniki alpejskie;367;4.0;9.7;66.3
Pierniki beskidzkie;338;3.5;1.6;77.3
Pierogi leniwe;242;14.5;13.9;15.1
Pierogi ruskie;166;5.6;5.0;25.7
Pierogi z miesem;219;12.0;11.6;17.3
Pierogi z serem;238;10.9;9.9;26.8
Pierogi z truskawkami;240;3.8;11.4;32.3
Pietruszka, korzen;38;2.6;0.5;10.5
Pietruszka, naciowa;41;4.4;0.4;9.0
Pikling;215;21.8;14.3;0.0
Piwo bezalkoholowe;27;0.2;0.0;5.2
Piwo ciemne pelne;42;0.4;0.0;4.6
Piwo jasne mocne;64;7.0;0.0;5.4
Piwo jasne pelne;49;0.5;0.0;3.8
Pizza miesno-ziolowa;327;16.1;13.4;36.8
Pizza z pieczarkami i cebula;289;12.0;13.3;32.1
Placki ziemniaczane;231;3.6;14.5;23.6
Plastuga, swieza;86;17.1;1.9;0.0
Platki jeczmienne;355;9.8;3.6;79.4
Platki kukurydziane;363;6.9;2.5;83.6
Platki owsiane;366;11.9;7.2;69.3
Platki owsiane na mleku;63;2.7;2.3;8.2
Platki pszenne;351;9.0;3.0;81.0
Platki zytnie;343;6.4;3.2;82.6
Poledwica sopocka;165;19.9;9.1;0.9
Poledwica wolowa piecz.;168;19.7;9.9;2.6
Poledwica z indyka;105;15.8;4.6;0.1
Poledwica z kurczaka;93;20.4;1.2;0.0
Pomaranza;44;0.9;0.2;11.3
Pomaranze, dzem niskoslodzony;159;0.3;0.1;39.2
